Weather_Date,Store_ID,Temperature_C,Precipitation_mm,Weather_Condition,Batch_ID,Source_File
2023-01-01,S028,12.0,0.0,Overcast,api_weather_20260107_105448,api_weather.csv
2023-01-02,S028,11.3,18.9,Moderate Rain,api_weather_20260107_105448,api_weather.csv
2023-01-03,S028,13.3,7.1,Moderate Rain,api_weather_20260107_105448,api_weather.csv
2023-01-04,S028,14.9,11.0,Moderate Rain,api_weather_20260107_105448,api_weather.csv
2023-01-05,S028,14.0,21.4,Moderate Rain,api_weather_20260107_105448,api_weather.csv
2023-01-06,S028,11.4,23.0,Moderate Rain,api_weather_20260107_105448,api_weather.csv
2023-01-07,S028,13.1,0.0,Overcast,api_weather_20260107_105448,api_weather.csv
2023-01-08,S028,13.1,0.0,Overcast,api_weather_20260107_105448,api_weather.csv
2023-01-09,S028,15.3,3.6,Moderate Rain,api_weather_20260107_105448,api_weather.csv
2023-01-10,S028,13.4,0.7,Light Drizzle,api_weather_20260107_105448,api_weather.csv
2023-01-11,S028,9.3,0.0,Overcast,api_weather_20260107_105448,api_weather.csv
2023-01-12,S028,9.8,0.6,Moderate Drizzle,api_weather_20260107_105448,api_weather.csv
2023-01-13,S028,11.1,3.0,Slight Rain,api_weather_20260107_105448,api_weather.csv
2023-01-14,S028,13.3,0.9,Light Drizzle,api_weather_20260107_105448,api_weather.csv
2023-01-15,S028,15.8,2.5,Slight Rain,api_weather_20260107_105448,api_weather.csv
2023-01-16,S028,15.4,0.0,Overcast,api_weather_20260107_105448,api_weather.csv
2023-01-17,S028,15.1,0.0,Overcast,api_weather_20260107_105448,api_weather.csv
2023-01-18,S028,10.3,0.0,Overcast,api_weather_20260107_105448,api_weather.csv
2023-01-19,S028,10.0,0.0,Overcast,api_weather_20260107_105448,api_weather.csv
2023-01-20,S028,10.7,0.0,Clear,api_weather_20260107_105448,api_weather.csv
2023-01-21,S028,12.0,0.0,Mainly Clear,api_weather_20260107_105448,api_weather.csv
2023-01-22,S028,13.2,0.0,Partly Cloudy,api_weather_20260107_105448,api_weather.csv
2023-01-23,S028,13.4,0.9,Moderate Drizzle,api_weather_20260107_105448,api_weather.csv
2023-01-24,S028,13.6,0.2,Light Drizzle,api_weather_20260107_105448,api_weather.csv
2023-01-25,S028,12.5,5.2,Dense Drizzle,api_weather_20260107_105448,api_weather.csv
2023-01-26,S028,13.2,0.4,Light Drizzle,api_weather_20260107_105448,api_weather.csv
2023-01-27,S028,11.1,0.0,Overcast,api_weather_20260107_105448,api_weather.csv
2023-01-28,S028,10.2,0.0,Clear,api_weather_20260107_105448,api_weather.csv
