Transaction_ID,Transaction_Date,Transaction_TS,Store_ID,Customer_ID,Payment_Method,Total_Amount,Total_Discount,Line_Count,Batch_ID,Source_File
T00015467,06/21/24,2024-06-21 17:45:15,S004,C001120,Online,27.34,4.1,1,gen_20251127_091607,transactions_header.csv
T00018733,10/23/24,2024-10-23 18:37:57,S018,C002556,Cash,65.11,0.0,1,gen_20251127_091607,transactions_header.csv
T00012664,12/06/24,2024-12-06 16:42:09,S002,C000410,Card,46.07,0.0,7,gen_20251127_091607,transactions_header.csv
T00015189,2024-07-14,2024-07-14 09:05:44,S007,C003083,Online,53.32,2.67,2,gen_20251127_091607,transactions_header.csv
T00004202,04/30/24,2024-04-30 11:41:37,S007,,Online,107.79,10.78,1,gen_20251127_091606,transactions_header.csv
T00015954,2024-10-28,2024-10-28 05:40:13,S012,C003647,Online,44.51,6.68,1,gen_20251127_091607,transactions_header.csv
T00012634,2024-01-05,2024-01-05 18:26:58,S003,C004194,Card,26.45,1.32,1,gen_20251127_091607,transactions_header.csv
T00001088,2024-11-30,2024-11-30 12:22:09,S030,C002823,Card,39.89,3.99,6,gen_20251127_091605,transactions_header.csv
T00015873,08/10/24,2024-08-10 12:21:03,S005,C003297,Online,31.42,0.0,2,gen_20251127_091607,transactions_header.csv
T00018086,2024-05-07,2024-05-07 05:02:27,S002,C003695,Card,53.62,5.36,4,gen_20251127_091607,transactions_header.csv
T00015323,03/15/24,2024-03-15 16:40:52,S019,C000073,Cash,24.0,1.2,1,gen_20251127_091607,transactions_header.csv
T00015810,07/05/24,2024-07-05 02:54:24,S022,NA,Card,78.64,7.86,1,gen_20251127_091607,transactions_header.csv
T00008351,2024-05-05,2024-05-05 15:49:27,S029,C002067,Card,47.57,2.38,6,gen_20251127_091606,transactions_header.csv
T00010194,11/07/24,2024-11-07 06:57:54,S012,,Online,72.89,3.64,1,gen_20251127_091606,transactions_header.csv
T00002352,06/17/24,2024-06-17 18:45:48,S028,C003160,Card,8.81,0.88,2,gen_20251127_091605,transactions_header.csv
T00014578,07/19/24,2024-07-19 18:36:19,S021,,Card,87.0,8.7,4,gen_20251127_091607,transactions_header.csv
T00019416,10/31/24,2024-10-31 01:33:15,S018,C001308,Card,52.4,2.62,4,gen_20251127_091607,transactions_header.csv
T00002768,2024-11-27,2024-11-27 14:00:24,S021,C000647,Online,86.77,4.34,3,gen_20251127_091605,transactions_header.csv
T00018539,05/22/24,2024-05-22 09:06:53,S018,C001882,Card,71.92,10.79,1,gen_20251127_091607,transactions_header.csv
T00006040,2024-06-14,2024-06-14 19:21:47,S020,C001310,Card,51.41,,1,gen_20251127_091606,transactions_header.csv
T00008196,12/23/24,2024-12-23 07:22:42,S010,C002971,Card,33.33,3.33,1,gen_20251127_091606,transactions_header.csv
T00008571,07/02/24,2024-07-02 11:40:52,S012,C003133,Card,14.59,2.19,6,gen_20251127_091606,transactions_header.csv
T00015133,12/12/24,2024-12-12 09:05:30,S005,C000263,Card,21.6,,1,gen_20251127_091607,transactions_header.csv
T00017860,08/17/24,2024-08-17 12:49:49,S030,C001562,Card,76.52,7.65,2,gen_20251127_091607,transactions_header.csv
T00013345,08/03/24,2024-08-03 01:31:11,S022,C001074,Cash,$84.82,4.24,5,gen_20251127_091607,transactions_header.csv
T00008553,01/05/24,2024-01-05 03:31:38,S030,C002757,Online,66.77,3.34,2,gen_20251127_091606,transactions_header.csv
T00003166,09/10/24,2024-09-10 13:18:52,S002,C004874,Cash,30.81,0.0,2,gen_20251127_091606,transactions_header.csv
T00007563,04/18/24,2024-04-18 08:14:33,S016,C001715,Card,37.71,NA,7,gen_20251127_091606,transactions_header.csv
T00016443,2024-04-17,2024-04-17 21:28:05,S012,C004423,Card,33.56,3.36,6,gen_20251127_091607,transactions_header.csv
T00017440,2024-02-04,2024-02-04 09:16:14,S029,NA,Cash,45.87,0.0,2,gen_20251127_091607,transactions_header.csv
T00004548,2024-01-09,2024-01-09 01:54:30,S009,C000885,Card,28.09,0.0,4,gen_20251127_091606,transactions_header.csv
T00015560,2024-01-28,2024-01-28 11:07:41,S004,C003042,Online,31.77,1.59,3,gen_20251127_091607,transactions_header.csv
T00011942,04/28/24,2024-04-28 13:24:09,S007,C000598,Card,36.09,3.61,2,gen_20251127_091607,transactions_header.csv
T00013564,2024-03-29,2024-03-29 18:58:38,S004,NA,Cash,78.14,11.72,1,gen_20251127_091607,transactions_header.csv
T00008613,12/18/24,2024-12-18 14:10:49,S020,C003489,Cash,35.06,1.75,5,gen_20251127_091606,transactions_header.csv
T00014718,09/03/24,2024-09-03 02:39:56,S026,C004185,Card,0,0.0,1,gen_20251127_091607,transactions_header.csv
T00018165,2024-08-19,2024-08-19 18:49:05,S021,C001581,Cash,19.53,0.98,2,gen_20251127_091607,transactions_header.csv
T00016198,12/18/24,2024-12-18 13:15:21,S030,C002086,Cash,68.58,6.86,1,gen_20251127_091607,transactions_header.csv
T00017150,2024-04-14,2024-04-14 02:30:24,S028,C002966,Online,34.31,1.72,4,gen_20251127_091607,transactions_header.csv
T00018603,03/13/24,2024-03-13 10:54:39,S009,C000038,Card,23.23,2.32,1,gen_20251127_091607,transactions_header.csv
T00012358,2024-09-19,2024-09-19 10:31:24,S010,C002420,Card,51.79,2.59,2,gen_20251127_091607,transactions_header.csv
T00011184,01/30/24,2024-01-30 04:54:28,S006,C002195,Card,111.73,16.76,2,gen_20251127_091606,transactions_header.csv
T00000120,2024-11-21,2024-11-21 22:59:18,S011,C004722,Cash,10.28,0.51,1,gen_20251127_091605,transactions_header.csv
